State,Department,Website,District,Block
Karnataka,"Additional Director General of Police, Communication, Logistics and Modernisation Bengaluru",RTI_Online_Karnataka,State Level / Not Applicable,NA
Karnataka,Administrative Training Institute(Mysuru),RTI_Online_Karnataka,Mysuru,NA
Karnataka,"Arasikere Planning Authority, Arasikere",RTI_Online_Karnataka,Arasikere,NA
Karnataka,"Arbitration and Conciliation Centre-Bangalore, HCK",RTI_Online_Karnataka,NA,NA
Karnataka,BMCRI Super Speciality Hospital (PMSSY),RTI_Online_Karnataka,PMSSY,Not Applicable
Karnataka,Badami Town Planning Authority,RTI_Online_Karnataka,NA,NA
Karnataka,"Bagalkot - College of Teachers Education, Jamakandi",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,Bagalkot - Department of Physicaly disabled and Senior Citizens,RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,Bagalkot - District Consumer Disputes Redressal Commission,RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,Bagalkot - District Training Institute,RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - General Manager, Rehabiliation and Resettlement, Land Acquisition,U.K.P Navanagar",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,Bagalkot - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,Bagalkot - Karnataka Urban Water Supply and Sewage Board,RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of The Assistant Director, Department of Agricultural Marketing",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of The Deputy Director, Department of Public Instruction",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of The Deputy Director, Department of Social Welfare",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of The Deputy Director, Fisheries Department",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of The Deputy Director,Department of Mines and Geology",RTI_Online_Karnataka,Bagalkot,
Karnataka,Bagalkot - Office of The District Health and Family Welfare Officer,RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of The District Officer, Department of Backward Classes Welfare",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of The District Skill Development Officer, Skill Development Department",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of the Assiatant Director, Department of Kannada and Culture",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of the Assistant Director, Department of Information and Public Relations",RTI_Online_Karnataka,Bagalkot,Not Applicable
Karnataka,"Bagalkot - Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",RTI_Online_Karnataka,Bagalkot,Not Applicable
