Department,District,Block
"Additional Director General of Police, Communication, Logistics and Modernisation Bengaluru",State Level / Not Applicable,NA
Administrative Training Institute(Mysuru),Mysuru,NA
"Arasikere Planning Authority, Arasikere",Arasikere,NA
"Arbitration and Conciliation Centre-Bangalore, HCK",NA,NA
Badami Town Planning Authority,NA,NA
Bagalkot-Badami-Rural Development and Panchayat Raj - RDPR(T.P),Bagalkot,Badami
Bagalkot-Bagalkot-Rural Development and Panchayat Raj - RDPR(T.P),Bagalkot,Bagalkot
Bagalkot-Bilgi-Rural Development and Panchayat Raj - RDPR(T.P),Bagalkot,Bilgi
"Bagalkot - College of Teachers Education, Jamakandi",Bagalkot,Not Applicable
Bagalkot - Department of Physicaly disabled and Senior Citizens,Bagalkot,Not Applicable
Bagalkot-Deputy Director of Land Records-DDLR,Bagalkot,Not Applicable
Bagalkot - District Consumer Disputes Redressal Commission,Bagalkot,Not Applicable
Bagalkot-District Registrar - DR,Bagalkot,Not Applicable
Bagalkot - District Training Institute,Bagalkot,Not Applicable
Bagalkot-Food and Civil Supplies - FCS,Bagalkot,Not Applicable
"Bagalkot - General Manager, Rehabiliation and Resettlement, Land Acquisition,U.K.P Navanagar",Bagalkot,Not Applicable
Bagalkot-Guledgudda-Rural Development and Panchayat Raj - RDPR(T.P),Bagalkot,Guledgudda
Bagalkot-Hunagunda-Rural Development and Panchayat Raj - RDPR(T.P),Bagalkot,Hunagunda
Bagalkot-Ilkal-Rural Development and Panchayat Raj - RDPR(T.P),Bagalkot,Ilkal
Bagalkot-Jamkhandi-Rural Development and Panchayat Raj - RDPR(T.P),Bagalkot,Jamkhandi
Bagalkot - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Bagalkot,Not Applicable
Bagalkot - Karnataka Urban Water Supply and Sewage Board,Bagalkot,Not Applicable
Bagalkot-Labour Department,Bagalkot,Not Applicable
Bagalkot-Mudhol-Rural Development and Panchayat Raj - RDPR(T.P),Bagalkot,Mudhol
"Bagalkot - Office of the Assiatant Director, Department of Kannada and Culture",Bagalkot,Not Applicable
"Bagalkot - Office of The Assistant Director, Department of Agricultural Marketing",Bagalkot,Not Applicable
"Bagalkot - Office of the Assistant Director, Department of Information and Public Relations",Bagalkot,Not Applicable
"Bagalkot- Office of The Chief Engineer (Electricity),Transmission zone ,KPTCL",Bagalkot,Not Applicable
"Bagalkot- Office of The Deputy Commissioner, Department of Excise",Bagalkot,Not Applicable
"Bagalkot - Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",Bagalkot,Not Applicable
"Bagalkot - Office of the Deputy Director, Department of Handlooms and Textiles",Bagalkot,Not Applicable
"Bagalkot - Office of the Deputy Director, Department of Horticulture",Bagalkot,Not Applicable
"Bagalkot - Office of the Deputy Director, Department of Pre University Education",Bagalkot,Not Applicable
"Bagalkot - Office of The Deputy Director, Department of Public Instruction",Bagalkot,Not Applicable
"Bagalkot - Office of the Deputy Director, Department of Sericulture",Bagalkot,Not Applicable
"Bagalkot - Office of The Deputy Director, Department of Social Welfare",Bagalkot,Not Applicable
"Bagalkot - Office of the Deputy Director, Department of Women and Child Development",Bagalkot,Not Applicable
"Bagalkot - Office of the Deputy Director, District Treasury",Bagalkot,Not Applicable
"Bagalkot - Office of The Deputy Director, Fisheries Department",Bagalkot,Not Applicable
Bagalkot - Office of The District Health and Family Welfare Officer,Bagalkot,Not Applicable
"Bagalkot - Office of The District Officer, Department of Backward Classes Welfare",Bagalkot,Not Applicable
"Bagalkot - Office of the District officer, Minority Welfare Department",Bagalkot,Not Applicable
"Bagalkot - Office of The District Skill Development Officer, Skill Development Department",Bagalkot,Not Applicable
"Bagalkot- Office of the Joint Director, Department of Agriculture",Bagalkot,Not Applicable
"Bagalkot- Office of The Joint Director, District Industrial Centre, Dept of Industries and Commerce",Bagalkot,Not Applicable
Bagalkot- Office of The Superintendent of Police,Bagalkot,Not Applicable
Bagalkot-Public Works Department - PWD,Bagalkot,Not Applicable
Bagalkot-Rabkavi Banhatti-Rural Development and Panchayat Raj - RDPR(T.P),Bagalkot,Rabkavi Banhatti
"Bagalkot - Regional Office, Karnataka State Pollution Control Board",Bagalkot,Not Applicable
Bagalkot-REVENUE,Bagalkot,Not Applicable
Bagalkot-Rural Development and Panchayat Raj - RDPR(Z.P),Bagalkot,NA
Bagalkot University,NA,Not Applicable
Bagalkot - Urban Development Authority,Bagalkot,Not Applicable
Bagalkot-Urban Development Cell - DUDC,Bagalkot,Not Applicable
Ballari-Ballari-Rural Development and Panchayat Raj - RDPR(T.P),Ballari,Ballari
Ballari-City Corporation,Ballari,Not Applicable
Ballari-Deputy Director of Land Records-DDLR,Ballari,Not Applicable
Ballari-District Consumer disputes Redressal commission,Ballari,Not Applicable
Ballari- District Hospital,Ballari,Not Applicable
Ballari - District Institute for Education and Training(DIET),Ballari,Not Applicable
Ballari-District Registrar - DR,Ballari,Not Applicable
Ballari - District Training Institute,Ballari,Not Applicable
Ballari-Food and Civil Supplies - FCS,Ballari,Not Applicable
Ballari-Hagaribommanahalli-Rural Development and Panchayat Raj - RDPR(T.P),Ballari,Hagaribommanahalli
Ballari-Harappanahalli-Rural Development and Panchayat Raj - RDPR(T.P),Ballari,Harappanahalli
Ballari-Hoovina Hadagali-Rural Development and Panchayat Raj - RDPR(T.P),Ballari,Hoovina Hadagali
Ballari-Hosapete-Rural Development and Panchayat Raj - RDPR(T.P),Ballari,Hosapete
Ballari - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Ballari,Not Applicable
Ballari-Kudligi-Rural Development and Panchayat Raj - RDPR(T.P),Ballari,Kudligi
Ballari-LABOUR,Ballari,Not Applicable
"Ballari Medical College and Research Centre,Ballari",ballari,NA
"Ballari- Office of The Deputy Commissioner of Excise, Department of Excise",Ballari,Not Applicable
"Ballari - Office of The Deputy Director, Agricultural Marketing Department",Ballari,Not Applicable
"Ballari- Office of The Deputy Director, Department of Animal Husbandry and Veterinary Services",Ballari,Not Applicable
"Ballari- Office of The Deputy Director, Department of Handlooms and Textiles",Ballari,Not Applicable
"Ballari- Office of The Deputy Director, Department of Pre University Education",Ballari,Not Applicable
"Ballari- Office of The Deputy Director, Department of Public Instruction",Ballari,Not Applicable
"Ballari- Office of The Deputy Director, Department of Social Welfare",Ballari,Not Applicable
