application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,due_date,notes
KA-001,ka2026q3_01,Karnataka,"Chamarajanagar - Office of The Assistant Director, Agricultural Marketing Department",AGRICULTURAL MARKETING,Chamarajanagar,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,
KA-002,ka2026q3_01,Karnataka,"Chikkaballapura -Office of The Assistant Director, Department of Agricultural Marketing",AGRICULTURAL MARKETING,Chikkaballapura,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,
KA-003,ka2026q3_01,Karnataka,"Dharwad - Office of The Deputy Director, Department of Agricultural Marketing",AGRICULTURAL MARKETING,Dharwad,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,
KA-004,ka2026q3_01,Karnataka,"Bidar- Office of The Joint Director, Department of Agriculture",AGRICULTURE,Bidar,Not Applicable,RTI_Online_Karnataka,legal_salience,RA3,v3,en,portal,,,,,,,,,
KA-005,ka2026q3_01,Karnataka,"Koppal- Office of the Joint Director, Department of Agriculture",AGRICULTURE,Koppal,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-006,ka2026q3_01,Karnataka,Secretariat - Agriculture,AGRICULTURE,NA,Not Applicable,RTI_Online_Karnataka,legal_salience,RA3,v3,en,portal,,,,,,,,,
KA-007,ka2026q3_01,Karnataka,"Tumakuru - Office of the Joint Director, Department of Agriculture",AGRICULTURE,Tumakuru,Not Applicable,RTI_Online_Karnataka,legal_salience,RA3,v3,en,portal,,,,,,,,,
KA-008,ka2026q3_01,Karnataka,"Davanagere - Office of The Deputy Director, Department of Animal Husbandary and Veterinary Services",ANIMAL HUSBANDARY AND VETERINARY SERVICES,Davanagere,,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,
KA-009,ka2026q3_01,Karnataka,"Chitradurga - Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",ANIMAL HUSBANDRY AND VETERINARY SERVICES,Chitradurga,Not Applicable,RTI_Online_Karnataka,plain,RA3,v3,en,portal,,,,,,,,,
KA-010,ka2026q3_01,Karnataka,"Dharwad - Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",ANIMAL HUSBANDRY AND VETERINARY SERVICES,Dharwad,Not Applicable,RTI_Online_Karnataka,plain,RA3,v3,en,portal,,,,,,,,,
KA-011,ka2026q3_01,Karnataka,"Mandya- Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",ANIMAL HUSBANDRY AND VETERINARY SERVICES,Mandya,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-012,ka2026q3_01,Karnataka,"Bengaluru South - Office of the District Officer, Backward Class Welfare Department",BACKWARD CLASS WELFARE,Bengaluru South,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,
KA-013,ka2026q3_01,Karnataka,"Vijayapura - Office of The District Officer, Backward Class Welfare Department",BACKWARD CLASS WELFARE,Vijayapura,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-014,ka2026q3_01,Karnataka,"Chitradurga - Office of the District Office, Department of Backward Classes Welfare",BACKWARD CLASSES WELFARE,Chitradurga,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-015,ka2026q3_01,Karnataka,"Davanagere - Office of the District officer, Backward Classes Welfare Department",BACKWARD CLASSES WELFARE,Davanagere,Not Applicable,RTI_Online_Karnataka,plain,RA3,v3,en,portal,,,,,,,,,
KA-016,ka2026q3_01,Karnataka,"Kalaburagi - Office of the District Office, Department of Backward Classes Welfare",BACKWARD CLASSES WELFARE,Kalaburagi,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,
KA-017,ka2026q3_01,Karnataka,"Karnataka Maratha communities Development Corporation Ltd, Bengaluru",BENGALURU,NA,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,
KA-018,ka2026q3_01,Karnataka,"Office of the Chief Engineer, National Highways, Bengaluru",BENGALURU,NA,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-019,ka2026q3_01,Karnataka,"North Western Karnataka Road Transport Corporation, Central Office(Technical Dept)",CENTRAL OFFICE(TECHNICAL DEPT),NA,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,
KA-020,ka2026q3_01,Karnataka,Chamundeshwari Electricity Supply Corporation Limited(Hassan Circle),CHAMUNDESHWARI ELECTRICITY SUPPLY CORPORATION LIMITED(HASSAN CIRCLE),Hassan Circle,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-021,ka2026q3_01,Karnataka,Kalaburagi-City Corporation,CITY CORPORATION,Kalaburagi,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,
KA-022,ka2026q3_01,Karnataka,Vijayapura-City Corporation,CITY CORPORATION,Vijayapura,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-023,ka2026q3_01,Karnataka,"Belagavi -Joint Director office, Commerce and Industries Department",COMMERCE AND INDUSTRIES,Belagavi,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-024,ka2026q3_01,Karnataka,"Chikkamagaluru-Joint Director office, Commerce and Industries Department",COMMERCE AND INDUSTRIES,Chikkamagaluru,Not Applicable,RTI_Online_Karnataka,legal_salience,RA3,v3,en,portal,,,,,,,,,
KA-025,ka2026q3_01,Karnataka,Commissionerate of Information And Public Relation Department,COMMISSIONERATE OF INFORMATION AND PUBLIC RELATION,NA,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-026,ka2026q3_01,Karnataka,Dakshina Kannada-Deputy Director of Land Records-DDLR,DDLR,Dakshina Kannada,Not Applicable,RTI_Online_Karnataka,plain,RA3,v3,en,portal,,,,,,,,,
KA-027,ka2026q3_01,Karnataka,Mysuru-Deputy Director of Land Records-DDLR,DDLR,Mysuru,Not Applicable,RTI_Online_Karnataka,plain,RA3,v3,en,portal,,,,,,,,,
