application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,due_date,notes
KA-011,ka2026q3_01,Karnataka,"Mandya- Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",ANIMAL HUSBANDRY AND VETERINARY SERVICES,Mandya,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-013,ka2026q3_01,Karnataka,"Vijayapura - Office of The District Officer, Backward Class Welfare Department",BACKWARD CLASS WELFARE,Vijayapura,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-022,ka2026q3_01,Karnataka,Vijayapura-City Corporation,CITY CORPORATION,Vijayapura,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-025,ka2026q3_01,Karnataka,Commissionerate of Information And Public Relation Department,COMMISSIONERATE OF INFORMATION AND PUBLIC RELATION,NA,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-034,ka2026q3_01,Karnataka,Yadgir - District Consumer Disputes Redressal Commission,DISTRICT CONSUMER DISPUTES REDRESSAL COMMISSION,Yadgir,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-035,ka2026q3_01,Karnataka,Bengaluru Rural - District Court,DISTRICT COURT,Bengaluru Rural,,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-036,ka2026q3_01,Karnataka,Chikkaballapura - District Court,DISTRICT COURT,Chikkaballapura,,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-037,ka2026q3_01,Karnataka,Hassan - District Court,DISTRICT COURT,Hassan,,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-045,ka2026q3_01,Karnataka,Vijayapura - District Training Institute,DISTRICT TRAINING INSTITUTE,Vijayapura,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-056,ka2026q3_01,Karnataka,Kalaburagi-Urban Development Cell - DUDC,DUDC,Kalaburagi,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-058,ka2026q3_01,Karnataka,"Bidar - Office of The Deputy Commissioner, Department of Excise",EXCISE,Bidar,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-059,ka2026q3_01,Karnataka,Chikkamagaluru-Food and Civil Supplies - FCS,FCS,Chikkamagaluru,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-060,ka2026q3_01,Karnataka,Davanagere-Food and Civil Supplies - FCS,FCS,Davanagere,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-062,ka2026q3_01,Karnataka,Shivamogga-Food and Civil Supplies - FCS,FCS,Shivamogga,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-067,ka2026q3_01,Karnataka,"Arbitration and Conciliation Centre-Bangalore, HCK",HCK,NA,NA,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-069,ka2026q3_01,Karnataka,"Dharwad - Office of the Deputy Director, Department of Horticulture",HORTICULTURE,Dharwad,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-075,ka2026q3_01,Karnataka,Indira Gandhi Institute Of Child Health,INDIRA GANDHI INSTITUTE OF CHILD HEALTH,NA,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-078,ka2026q3_01,Karnataka,Secretariat - Information and Public Relation Department,INFORMATION AND PUBLIC RELATION,NA,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-097,ka2026q3_01,Karnataka,"Bagalkot- Office of The Chief Engineer (Electricity),Transmission zone ,KPTCL",KPTCL,Bagalkot,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-104,ka2026q3_01,Karnataka,Malur Planning Authority,MALUR PLANNING AUTHORITY,State Level / Not Applicable,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-110,ka2026q3_01,Karnataka,"Chikkaballapura - Office of the District officer, Minority Welfare Department",MINORITY WELFARE,Chikkaballapura,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-113,ka2026q3_01,Karnataka,Davanagere- Office of The District Health and Family Welfare Officer,OFFICE OF THE DISTRICT HEALTH AND FAMILY WELFARE OFFICER,Davanagere,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-115,ka2026q3_01,Karnataka,Mysuru-Office of the Joint Registrar of Cooperative Societies,OFFICE OF THE JOINT REGISTRAR OF COOPERATIVE SOCIETIES,Mysuru,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
KA-117,ka2026q3_01,Karnataka,Chikkamagaluru- Office of The Superintendent of Police,OFFICE OF THE SUPERINTENDENT OF POLICE,Chikkamagaluru,Not Applicable,RTI_Online_Karnataka,legal_salience,RA1,v3,en,portal,,,,,,,,,
KA-122,ka2026q3_01,Karnataka,"Chamarajanagar - Office of The Deputy Director, Department of Pre University Eductaion",PRE UNIVERSITY EDUCTAION,Chamarajanagar,Not Applicable,RTI_Online_Karnataka,plain,RA1,v3,en,portal,,,,,,,,,
