application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
KA-001,ka2026q3_01,Karnataka,"Chamarajanagar - Office of The Assistant Director, Agricultural Marketing Department",AGRICULTURAL MARKETING,Chamarajanagar,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-002,ka2026q3_01,Karnataka,"Chikkaballapura -Office of The Assistant Director, Department of Agricultural Marketing",AGRICULTURAL MARKETING,Chikkaballapura,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-003,ka2026q3_01,Karnataka,"Dharwad - Office of The Deputy Director, Department of Agricultural Marketing",AGRICULTURAL MARKETING,Dharwad,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-008,ka2026q3_01,Karnataka,"Davanagere - Office of The Deputy Director, Department of Animal Husbandary and Veterinary Services",ANIMAL HUSBANDARY AND VETERINARY SERVICES,Davanagere,,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-012,ka2026q3_01,Karnataka,"Bengaluru South - Office of the District Officer, Backward Class Welfare Department",BACKWARD CLASS WELFARE,Bengaluru South,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-016,ka2026q3_01,Karnataka,"Kalaburagi - Office of the District Office, Department of Backward Classes Welfare",BACKWARD CLASSES WELFARE,Kalaburagi,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-017,ka2026q3_01,Karnataka,"Karnataka Maratha communities Development Corporation Ltd, Bengaluru",BENGALURU,NA,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-019,ka2026q3_01,Karnataka,"North Western Karnataka Road Transport Corporation, Central Office(Technical Dept)",CENTRAL OFFICE(TECHNICAL DEPT),NA,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-021,ka2026q3_01,Karnataka,Kalaburagi-City Corporation,CITY CORPORATION,Kalaburagi,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-029,ka2026q3_01,Karnataka,Uttara Kannada-Deputy Director of Land Records-DDLR,DDLR,Uttara Kannada,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-030,ka2026q3_01,Karnataka,Belagavi-District Consumer Disputes and Redressal Commission,DISTRICT CONSUMER DISPUTES AND REDRESSAL COMMISSION,Belagavi,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-031,ka2026q3_01,Karnataka,Uttarakannada- District Consumer Disputes and Redressal Commission,DISTRICT CONSUMER DISPUTES AND REDRESSAL COMMISSION,Uttarakannada,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-033,ka2026q3_01,Karnataka,Ballari-District Consumer disputes Redressal commission,DISTRICT CONSUMER DISPUTES REDRESSAL COMMISSION,Ballari,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-040,ka2026q3_01,Karnataka,Bengaluru North - District Institute for Education and Training (DIET),DISTRICT INSTITUTE FOR EDUCATION AND TRAINING (DIET),Bengaluru North,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-046,ka2026q3_01,Karnataka,"Bengaluru Rural - Office of the Deputy Director, District Treasury",DISTRICT TREASURY,Bengaluru Rural,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-047,ka2026q3_01,Karnataka,"Chamarajanagar - Office of the Deputy Director, District Treasury",DISTRICT TREASURY,Chamarajanagar,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-051,ka2026q3_01,Karnataka,Chitradurga-District Registrar - DR,DR,Chitradurga,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-052,ka2026q3_01,Karnataka,Raichur-District Registrar - DR,DR,Raichur,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-055,ka2026q3_01,Karnataka,Hassan- Urban Development Cell - DUDC,DUDC,Hassan,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-057,ka2026q3_01,Karnataka,"Ballari- Office of The Deputy Commissioner of Excise, Department of Excise",EXCISE,Ballari,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-061,ka2026q3_01,Karnataka,Gadag-Food and Civil Supplies - FCS,FCS,Gadag,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-073,ka2026q3_01,Karnataka,"Ballari - Office of The Joint Director, District Industrial Centre, Dept of Ind & Comm",IND AND COMM,Ballari,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-083,ka2026q3_01,Karnataka,Belagavi - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,KARNATAKA MAHARSHI VALMIKI SCHEDULED TRIBES DEVELOPMENT CORPORATION LTD,Belagavi,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-085,ka2026q3_01,Karnataka,Mysuru - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,KARNATAKA MAHARSHI VALMIKI SCHEDULED TRIBES DEVELOPMENT CORPORATION LTD,Mysuru,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-088,ka2026q3_01,Karnataka,Dharwad- Karnataka Slum Development Board,KARNATAKA SLUM DEVELOPMENT BOARD,Dharwad,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
