application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,due_date,notes
KA-005,ka2026q3_01,Karnataka,"Koppal- Office of the Joint Director, Department of Agriculture",AGRICULTURE,Koppal,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-014,ka2026q3_01,Karnataka,"Chitradurga - Office of the District Office, Department of Backward Classes Welfare",BACKWARD CLASSES WELFARE,Chitradurga,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-018,ka2026q3_01,Karnataka,"Office of the Chief Engineer, National Highways, Bengaluru",BENGALURU,NA,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-020,ka2026q3_01,Karnataka,Chamundeshwari Electricity Supply Corporation Limited(Hassan Circle),CHAMUNDESHWARI ELECTRICITY SUPPLY CORPORATION LIMITED(HASSAN CIRCLE),Hassan Circle,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-023,ka2026q3_01,Karnataka,"Belagavi -Joint Director office, Commerce and Industries Department",COMMERCE AND INDUSTRIES,Belagavi,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-028,ka2026q3_01,Karnataka,Tumakuru-Deputy Director of Land Records-DDLR,DDLR,Tumakuru,Not Applicable,RTI_Online_Karnataka,legal_salience,RA4,v3,en,portal,,,,,,,,,
KA-032,ka2026q3_01,Karnataka,Bagalkot - District Consumer Disputes Redressal Commission,DISTRICT CONSUMER DISPUTES REDRESSAL COMMISSION,Bagalkot,Not Applicable,RTI_Online_Karnataka,legal_salience,RA4,v3,en,portal,,,,,,,,,
KA-041,ka2026q3_01,Karnataka,Chitradurga - District Institute for Education and Training (DIET),DISTRICT INSTITUTE FOR EDUCATION AND TRAINING (DIET),Chitradurga,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-043,ka2026q3_01,Karnataka,Belagavi - District Training Institute,DISTRICT TRAINING INSTITUTE,Belagavi,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-054,ka2026q3_01,Karnataka,Chitradurga-Urban Development Cell - DUDC,DUDC,Chitradurga,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-070,ka2026q3_01,Karnataka,"Kalaburagi- Office of The Deputy Director, Department of Horticulture",HORTICULTURE,Kalaburagi,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
KA-071,ka2026q3_01,Karnataka,"Koppal - Deputy Director office, Horticulture department",HORTICULTURE,Koppal,Not Applicable,RTI_Online_Karnataka,legal_salience,RA4,v3,en,portal,,,,,,,,,
KA-074,ka2026q3_01,Karnataka,"Tumakuru- Office of The Joint Director, District Industrial Centre, Department of Ind and Comm",IND AND COMM,Tumakuru,Not Applicable,RTI_Online_Karnataka,plain,RA4,v3,en,portal,,,,,,,,,
